ciarovy_kod,vzdialenost,priemer
,773.83,404.4424
,774.83,404.4316
,775.83,404.4814
,776.83,404.5568
,777.83,404.5492
,778.83,404.4659
,779.83,404.4214
,780.83,404.4418
,781.83,404.5172
,782.83,404.5594
,783.83,404.5332
,784.83,404.4465
,785.83,404.4366
,786.83,404.4767
,787.83,404.5635
,788.83,404.5660
,789.83,404.5164
,790.83,404.4365
,791.83,404.4248
,792.83,404.4763
,793.83,404.5412
,794.83,404.5323
,795.83,404.4598
,796.83,404.4233
,797.83,404.4452
,798.83,404.5253
,799.83,404.5595
,800.83,404.5262
,801.83,404.4477
,802.83,404.4470
,803.83,404.5051
,804.83,404.5934
,805.83,404.5918
,806.83,404.5151
,807.83,404.4395
,808.83,404.4672
,809.83,404.5497
,810.83,404.6049
,811.83,404.5647
,812.83,404.4888
,813.83,404.4917
,814.83,404.5573
,815.83,404.6304
,816.83,404.6357
,817.83,404.6093
,818.83,404.5581
,819.83,404.5460
,820.83,404.5896
,821.83,404.6502
,822.83,404.6429
,823.83,404.5771
,824.83,404.5400
,825.83,404.5582
,826.83,404.6372
,827.83,404.6755
,828.83,404.6517
,829.83,404.5877
,830.83,404.5602
,831.83,404.5886
,832.83,404.6817
,833.83,404.7002
,834.83,404.6360
,835.83,404.5430
,836.83,404.5330
,837.83,404.5743
,838.83,404.6266
,839.83,404.6099
,840.83,404.5321
,841.83,404.4972
,842.83,404.5270
,843.83,404.5988
,844.83,404.6127
,845.83,404.5707
,846.83,404.4918
,847.83,404.4791
,848.83,404.5232
,849.83,404.5861
,850.83,404.5719
,851.83,404.4981
,852.83,404.4624
,853.83,404.4706
,854.83,404.5267
,855.83,404.5759
,856.83,404.5569
,857.83,404.4789
,858.83,404.4522
,859.83,404.4767
,860.83,404.5541
,861.83,404.5771
,862.83,404.5418
,863.83,404.4674
,864.83,404.4654
,865.83,404.5170
,866.83,404.5831
,867.83,404.5710
,868.83,404.4898
,869.83,404.4464
,870.83,404.4714
,871.83,404.5548
,872.83,404.5855
,873.83,404.5566
,874.83,404.4832
,875.83,404.4718
,876.83,404.5087
,877.83,404.5821
,878.83,404.5932
,879.83,404.5517
,880.83,404.4971
,881.83,404.4996
,882.83,404.5509
,883.83,404.5999
,884.83,404.5813
,885.83,404.5232
,886.83,404.5031
,887.83,404.5244
,888.83,404.5903
,889.83,404.6290
,890.83,404.6182
,891.83,404.5515
,892.83,404.5339
,893.83,404.5889
,894.83,404.6697
,895.83,404.6698
,896.83,404.5972
,897.83,404.5600
,898.83,404.5839
,899.83,404.6544
,900.83,404.6960
,901.83,404.6688
,902.83,404.5832
,903.83,404.5623
,904.83,404.5950
,905.83,404.6821
,906.83,404.7016
,907.83,404.6515
,908.83,404.5756
,909.83,404.5667
,910.83,404.6256
,911.83,404.6861
,912.83,404.6652
,913.83,404.5759
,914.83,404.5338
,915.83,404.5512
,916.83,404.6208
,917.83,404.6502
